label,Restaurant,Review,rating(stars),Location
1,Eating Love,Loved the taste at this place,4,Sarjapur
1,Eating Love,Loved the quality and service at this place,5,Sarjapur
1,Eating Love,"Loved the food, service, ambience, music, drinks and crowd at this place",5,Sarjapur
1,Eating Love,This place is a bit pricey.,3,Sarjapur
1,Eating Love,"Fabulous food, Exotic ingredients, energetic staff and owners",4,Sarjapur
1,Napoli Bistro,Good Food !! I have tried Ravioli and Mexican Pizza.. Must try.,5,HSR
1,Napoli Bistro,"very ordinary crust, feels like papad while having it. chocolate shake is also below avg",1,HSR
1,Napoli Bistro,Cold pizza delivered and not worth the money,1,HSR
1,Napoli Bistro,"Absolutely fantastic steak, with just the right sides.",5,HSR
1,Napoli Bistro,if you are someone who knows the taste of a quesadilla and is fond of it then I will suggest you skip this place. this is a Desi style one with lots of capsicum inside of it though the salsa dip was good!,3,HSR
1,Napoli Bistro,I ordered the veg minestrone soup and the garlic bread. I was happy with the taste for both dishes. The soup could definitely do with some more veggies. The only downside was the quantity of the soup. For 160rs the soup quantity was definitely less.,3,HSR
1,Napoli Bistro,napoli bistro was bad for italian cuisines ,2,HSR
1,Little Italy,"For an ₹800 pizza, the size is obnoxiously small! The box was soaked and they sent just one oregano packet with the pizza.",1,Indiranagar
1,Little Italy ,Superb food. Staff very friendly.Mr. Mohan and his team were too good guiding us for food and taking care of us. Keep it up,5,Indiranagar
1,Little Italy,"We often go to Little Italy Indiranagar for their sumptuous buffet. Most recently had been for buffet on 26-FEB. The starters, chats,  beverages (fruit punch esp) were fantastic.",5,Indiranagar
1,Little Italy ,"It's on th expensive side but the food was decent . Only the ambience of the place was good. Didn't like the quality of service and price, promotions, & discounts at this place",3,Indiranagar
1,Little Italy ,"Liked the pasta,cheese balls, Quesadilla, Mocktails.Loved the quality and service at this place",5,Indiranagar
1,Little Italy ,Mango cheesecake was so bad,2,Indiranagar
1,Little Italy ,Service was good though,2,Indiranagar
1,Little Italy,Little Italy has best Italy food .The serving is good.,4,Indiranagar
1,Little Italy ,Great food in Little Italy Waffy. View from Rooftop is amazing,4,Indiranagar
1,Tiamo,Had a great afternoon with nice ambience,5,Kensington Road
1,Tiamo,Best poolside restaurant ever,5,Kensington Road
1,Tiamo,Romantic quiet place with great ambience,4,Kensington Road
1,Tiamo,Good ambience,4,Kensington Road
1,Tiamo,Great place Good ambience Ofcourse food taste is so good and especially try pizza here Great staff especially Sanam,5,Kensington Road
1,Tiamo,Good food I tried cheese mushrooms and great ambience I am satisfied with the service done by Yashika,5,Kensington Road
1,Tiamo,First the Ambiance was breath taking and the food was delicious. But the best part was the hospitality from Rohan who was very professional and helpful will surely visit again.,5,Kensington Road
1,Tiamo,"We had the bruschetta, lamb sausage burger and duck breast. It was a really filling combination that left us satisfied for the night. We had great service from our host yashika and had a lovely night :)",4,Kensington Road
1,Tiamo,"Great service by yashika,amazing view and ambiance. Must pay a vist to tiamo.Must try the risotto!",5,Kensington Road
1,Tiamo,"I ordered 4 dishes and all of them extremely tasty. Pasta are a must try, choclate custard was awesome . Loved the service by Anil. Pretty lovely ambience. Enjoyed the evening with my wife.",5,Kensington Road
